                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.75985,                0.94379,                 0.4331,                0.85787,                0.89971,                 0.8624,                0.91297,                0.66374,                0.78906,                0.74798,                0.78313,                 0.4411,                0.90737,                 1.1053,                0.52369,                0.84504,              0.0006436,              0.0006436,              0.0006436
                     38,                0.76369,                0.97377,                0.43515,                0.86037,                0.88802,                0.85635,                0.90823,                 0.6611,                0.76799,                0.73025,                0.76997,                0.44681,                0.92111,                 1.1197,                0.52744,                0.84602,              0.0006337,              0.0006337,              0.0006337
                     39,                0.77335,                0.95475,                0.43382,                0.86366,                0.88484,                0.87303,                  0.914,                0.66081,                0.77162,                0.76085,                0.78815,                0.45337,                0.92525,                 1.1484,                0.53066,                0.84481,              0.0006238,              0.0006238,              0.0006238
                     40,                0.75802,                0.93143,                0.43517,                0.85678,                0.89521,                0.85693,                0.91267,                0.66549,                0.78409,                0.71912,                 0.7672,                0.43809,                0.89879,                 1.1007,                 0.5189,                0.84468,              0.0006139,              0.0006139,              0.0006139
                     41,                0.75314,                0.92164,                0.42784,                  0.859,                0.88763,                0.87643,                0.91557,                 0.6615,                0.76373,                0.74593,                0.76304,                0.43978,                0.90528,                 1.1349,                0.52305,                  0.846,               0.000604,               0.000604,               0.000604
                     42,                0.73853,                0.90963,                0.42307,                0.85594,                0.88864,                0.87195,                0.91352,                0.66339,                0.78709,                0.73088,                0.77116,                0.44194,                0.90651,                 1.1209,                 0.5183,                0.84315,              0.0005941,              0.0005941,              0.0005941
                     43,                 0.7457,                0.94561,                0.42382,                0.85353,                0.90345,                0.86996,                0.91413,                0.66568,                0.78739,                0.74109,                  0.784,                 0.4556,                0.89245,                 1.1292,                0.52619,                0.84205,              0.0005842,              0.0005842,              0.0005842
                     44,                0.73671,                0.90309,                0.42112,                0.85369,                0.88697,                0.87211,                0.91705,                0.66269,                0.77075,                0.75576,                0.78544,                0.45478,                 0.9041,                 1.1036,                0.51704,                0.84408,              0.0005743,              0.0005743,              0.0005743
                     45,                 0.7305,                0.90123,                0.42294,                0.85447,                0.90193,                0.86212,                0.91958,                0.67643,                0.79116,                0.75502,                0.79415,                0.45916,                0.89438,                 1.0797,                 0.5206,                0.83934,              0.0005644,              0.0005644,              0.0005644
                     46,                0.72034,                0.88415,                0.41004,                0.85294,                0.88869,                0.87087,                0.91613,                0.67308,                 0.7973,                0.75744,                0.79369,                0.46847,                0.88667,                 1.0763,                 0.5226,                0.83958,              0.0005545,              0.0005545,              0.0005545
